id,question,level
505,Design and simulate types of AC/DC drives and switched mode converters using soft computing techniques,3
506,Develop different types of power electronic converter suitable for various applications and analyse its performace parameters,4
507,Demonstrate the working of switched mode power converters,5
508,Students should be able to review literature to find feasible solutions for a problem,1
509,Students should  systematically analyse a problem and develop objective statements,2
510,Students develop a scientific method to reach an objective,3
511,Students should be able to communicate and convince others on the method of achieving an objective,4
512,Students should be able to properly document a work plan/work report,5
513,"Describe the structure of concrete and interpret the structure property relationships with respect to strength, dimensional stability and durability.",1
514,Demonstrate  tests to determine the fresh properties and design a mix proportion  for SCC . Evaluate the requirements and engineering properties of SCC in terms of its fresh and hardened state.,2
515,Describe the different methods of testing of concrete at elevated temperatures and discuss its behaviour.,3
516,"Compare the behavior of supplementary cementitious materials such as Fly Ash , GGBS, silica fume, Metakaolin, Rice husk ash in concrete.",4
517,"Describe the methods ( XRD, SEM,TGA) for micro structural analysis of concrete specimens. and interpret its results.",5
518,Students should be able to review literature to find feasible solutions for a problem,1
519,Students should systematically analyse a problem and develop objective statements,2
520,Students should be able to develop a scientific method to reach an objective,3
521,Students should be able to communicate and convince others on the method of achieving an objective,4
522,Students should be able to  properly document a work plan/work report,5
523,Develop mathematical models for servomotors and other electrical systems,1
524,Examine the time domain and frequency domain analysis of electrical systems,2
525,Analyse simple process control systems,3
526,Analyse different types of controllers used in the process systems,4
527,Design and analyze simple process systems using MATLAB and SIMULINK,5
528,Understand software development tools and applications used in control systems,6
529,Adapt specific electric drives for different applications,1
530,Differentiate between different electric drives based on energy efficiency criteria,2
531,Comprehend the features of open loop and closed loop control of drives.,3
532,Demonstrate various speed control techniques used in the control of rotating machines,4
